document_id,overall_baseline,overall_candidate,overall_delta,nid_baseline,nid_candidate,nid_delta,teds_baseline,teds_candidate,teds_delta,mhs_baseline,mhs_candidate,mhs_delta
01030000000091,0.9290209019427313,0.9290209019427313,0.0,0.9916317991631799,0.9916317991631799,0.0,,,,0.8664100047222827,0.8664100047222827,0.0
01030000000092,0.8937527959137916,0.8937527959137916,0.0,0.9974474291965479,0.9974474291965479,0.0,,,,0.7900581626310353,0.7900581626310353,0.0
01030000000093,0.9972459776779243,0.9972459776779243,0.0,0.9972459776779243,0.9972459776779243,0.0,,,,,,
01030000000094,0.9111111111111111,0.9111111111111111,0.0,0.9111111111111111,0.9111111111111111,0.0,,,,,,
01030000000095,0.9256850905712959,0.9256850905712959,0.0,0.9256850905712959,0.9256850905712959,0.0,,,,,,
01030000000096,0.9517757009345794,0.9517757009345794,0.0,0.9517757009345794,0.9517757009345794,0.0,,,,,,
01030000000097,0.7921061931027594,0.7921061931027594,0.0,0.9461048505634493,0.9461048505634493,0.0,,,,0.6381075356420696,0.6381075356420696,0.0
01030000000098,0.8355722729715207,0.8355722729715207,0.0,0.8355722729715207,0.8355722729715207,0.0,,,,,,
01030000000099,0.7488471991567758,0.7488471991567758,0.0,0.8847161572052403,0.8847161572052403,0.0,,,,0.6129782411083111,0.6129782411083111,0.0
01030000000100,0.8126115407495537,0.8126115407495537,0.0,0.8126115407495537,0.8126115407495537,0.0,,,,,,
01030000000101,0.894688009189683,0.894688009189683,0.0,0.994384765625,0.994384765625,0.0,,,,0.7949912527543661,0.7949912527543661,0.0
01030000000102,0.9335378323108384,0.9335378323108384,0.0,0.9335378323108384,0.9335378323108384,0.0,,,,,,
01030000000103,0.8333234628900505,0.8333234628900505,0.0,0.9363784665579119,0.9363784665579119,0.0,,,,0.7302684592221893,0.7302684592221893,0.0
01030000000104,0.9263821763838489,0.9263821763838489,0.0,0.9579746835443038,0.9579746835443038,0.0,,,,0.8947896692233941,0.8947896692233941,0.0
01030000000105,0.9218801672548371,0.9218801672548371,0.0,0.9045079980610761,0.9045079980610761,0.0,,,,0.9392523364485982,0.9392523364485982,0.0
01030000000106,0.8221957040572793,0.8221957040572793,0.0,0.8221957040572793,0.8221957040572793,0.0,,,,,,
01030000000107,0.61491117053532,0.61491117053532,0.0,0.46480231436837033,0.46480231436837033,0.0,,,,0.7650200267022697,0.7650200267022697,0.0
01030000000108,0.7587115638198254,0.7587115638198254,0.0,0.6786171574903971,0.6786171574903971,0.0,,,,0.8388059701492537,0.8388059701492537,0.0
01030000000109,0.8018285193288386,0.8018285193288386,0.0,0.9096267190569745,0.9096267190569745,0.0,,,,0.6940303196007027,0.6940303196007027,0.0
01030000000110,0.2592831079630822,0.2592831079630822,0.0,0.5185662159261644,0.5185662159261644,0.0,0.0,0.0,0.0,,,
01030000000111,0.7787893116372294,0.7787893116372294,0.0,0.891465677179963,0.891465677179963,0.0,,,,0.6661129460944959,0.6661129460944959,0.0
01030000000112,0.9803795432614989,0.9803795432614989,0.0,0.9803795432614989,0.9803795432614989,0.0,,,,,,
01030000000113,0.8538715949853843,0.8538715949853843,0.0,0.96959627845157,0.96959627845157,0.0,,,,0.7381469115191986,0.7381469115191986,0.0
01030000000114,0.9959183673469387,0.9959183673469387,0.0,0.9959183673469387,0.9959183673469387,0.0,,,,,,
01030000000115,0.9040090972714809,0.9040090972714809,0.0,0.9871447902571042,0.9871447902571042,0.0,,,,0.8208734042858576,0.8208734042858576,0.0
01030000000116,0.6872791008661825,0.6872791008661825,0.0,0.8093255620316403,0.8093255620316403,0.0,0.5652326397007248,0.5652326397007248,0.0,,,
01030000000117,0.6959362212171021,0.6959362212171021,0.0,0.8887365775645419,0.8887365775645419,0.0,0.6428571428571428,0.6428571428571428,0.0,0.5562149432296213,0.5562149432296213,0.0
01030000000118,0.6221272712424892,0.6221272712424892,0.0,0.8355795148247978,0.8355795148247978,0.0,,,,0.4086750276601806,0.4086750276601806,0.0
01030000000119,0.8800275928435357,0.8800275928435357,0.0,0.949449125081011,0.949449125081011,0.0,0.8106060606060606,0.8106060606060606,0.0,,,
01030000000120,0.9497729852440409,0.9497729852440409,0.0,0.8995459704880817,0.8995459704880817,0.0,1.0,1.0,0.0,,,
01030000000121,0.9016651111530676,0.9016651111530676,0.0,0.9558577016204136,0.9558577016204136,0.0,0.9937888198757764,0.9937888198757764,0.0,0.7553488119630125,0.7553488119630125,0.0
01030000000122,0.5142669068109739,0.5142669068109739,0.0,0.8049426301853486,0.8049426301853486,0.0,0.0,0.0,0.0,0.7378580902475731,0.7378580902475731,0.0
01030000000123,0.9026701682885279,0.9026701682885279,0.0,0.878698224852071,0.878698224852071,0.0,,,,0.9266421117249847,0.9266421117249847,0.0
