document_id,base_overall,new_overall,delta,base_nid,new_nid,base_teds,new_teds,base_mhs,new_mhs
01030000000165,0.8129208700,0.9279683473,0.1150474773,0.8757340850,0.8753228457,1.0000000000,1.0000000000,0.5630285250,0.9085821963
01030000000166,0.7478876880,0.8368290379,0.0889413499,0.8986344538,0.8981627297,0.6570303475,0.6570303475,0.6879982628,0.9552940367
01030000000167,0.9867537521,0.9867537521,0.0000000000,0.9828882137,0.9828882137,,,0.9906192905,0.9906192905
01030000000168,0.9330010185,0.9330010185,0.0000000000,0.9268812620,0.9268812620,,,0.9391207749,0.9391207749
01030000000169,0.9500912181,0.9500912181,0.0000000000,0.9512140789,0.9512140789,,,0.9489683573,0.9489683573
01030000000170,0.7275013305,0.7277602065,0.0002588761,0.8295987493,0.8301165015,0.6254039116,0.6254039116,,
01030000000171,0.4625068707,0.9907348455,0.5282279748,0.7339055794,0.9888712242,,,0.1911081619,0.9925984668
01030000000172,0.7957512724,0.9922189428,0.1964676704,0.7957512724,0.9922189428,,,,
01030000000173,0.9293130246,0.9293130246,0.0000000000,0.9683445771,0.9683445771,,,0.8902814722,0.8902814722
01030000000174,0.9609773483,0.9609773483,0.0000000000,0.9715407262,0.9715407262,,,0.9504139704,0.9504139704
01030000000175,0.9849902642,0.9849902642,0.0000000000,0.9850349185,0.9850349185,,,0.9849456099,0.9849456099
01030000000176,0.9524484348,0.9524484348,0.0000000000,0.9759074847,0.9759074847,,,0.9289893848,0.9289893848
01030000000177,0.7670929996,0.7844671674,0.0173741677,0.7461858530,0.7691993464,,,0.7880001463,0.7997349883
01030000000178,0.9735247006,0.9735247006,0.0000000000,0.9538988860,0.9538988860,0.9984326019,0.9984326019,0.9682426137,0.9682426137
01030000000179,0.9878972161,0.9878972161,0.0000000000,0.9836829837,0.9836829837,,,0.9921114486,0.9921114486
01030000000180,0.8463878148,0.8463878148,0.0000000000,0.9084534476,0.9084534476,0.7119047619,0.7119047619,0.9188052348,0.9188052348
01030000000181,0.9884046772,0.9884046772,0.0000000000,0.9803921569,0.9803921569,,,0.9964171975,0.9964171975
01030000000182,0.7100006173,0.7100006173,0.0000000000,0.9018912530,0.9018912530,0.5238095238,0.5238095238,0.7043010753,0.7043010753
01030000000183,0.4693641640,0.6338944548,0.1645302908,0.6221374046,0.6260201632,,,0.3165909235,0.6417687464
01030000000184,0.7819141349,0.7819141349,0.0000000000,0.8459405941,0.8459405941,,,0.7178876757,0.7178876757
01030000000185,0.8260125977,0.8260125977,0.0000000000,0.8405162480,0.8405162480,,,0.8115089473,0.8115089473
01030000000186,0.7431636689,0.9044583732,0.1612947043,0.9433709071,0.9437508390,,,0.5429564306,0.8651659074
01030000000187,0.9751461408,0.9751461408,0.0000000000,0.9853305785,0.9853305785,0.9473684211,0.9473684211,0.9927394227,0.9927394227
